time,follower_x,follower_y,follower_z,tag_x,tag_y,tag_z,set_x,set_y,set_z,distance
11.274,3.264988422393799,3.291639804840088,1.3012402057647705,4.124492645263672,3.242905378341675,0.47229182720184326,3.1417417553212337,3.2980091026757834,1.2,0.8608847503918707
11.363,3.2459776401519775,3.2880775928497314,1.291082739830017,4.1029229164123535,3.256406307220459,0.4724075496196747,3.126096260058067,3.299515077231369,1.2,0.8575303358123157
11.464,3.2322709560394287,3.2923336029052734,1.296248435974121,4.10176944732666,3.2655036449432373,0.445784330368042,3.103605177467743,3.293339444517895,1.2,0.8699123363851189
11.564,3.2236499786376953,3.3006043434143066,1.308250904083252,4.104421138763428,3.2612743377685547,0.4134159982204437,3.102245179283293,3.2963457848231323,1.2,0.8816488449792942
11.664,3.1975345611572266,3.3206217288970947,1.2918695211410522,4.111937522888184,3.2715537548065186,0.42958083748817444,3.1054166426520338,3.3058839415464347,1.2,0.915718538910128
11.769,3.1800990104675293,3.336930751800537,1.2791181802749634,4.119814395904541,3.269415855407715,0.44973739981651306,3.1133741839617235,3.3251378770074034,1.2,0.942137605056695
11.863,3.1813976764678955,3.364466428756714,1.2330893278121948,4.126123905181885,3.2539427280426025,0.517481803894043,3.1223853787489606,3.3410772518220524,1.2,0.9511693517138256
11.963,3.1871225833892822,3.38045072555542,1.1665167808532715,4.114818572998047,3.2447829246520996,0.5880844593048096,3.1328978019524514,3.37014043827682,1.2,0.9375636518861683
12.064,3.1867356300354004,3.385791301727295,1.106768012046814,4.115056991577148,3.2372679710388184,0.6643946170806885,3.1253433648429017,3.3894854209896943,1.2,0.9401275073379799
12.163,3.177340507507324,3.3860607147216797,1.0770069360733032,4.129333972930908,3.218017578125,0.7255370020866394,3.1276150177002875,3.3952500846661797,1.2,0.9667109464397592
12.264,3.1710691452026367,3.3747029304504395,1.044602870941162,4.134860515594482,3.2005462646484375,0.8025726675987244,3.1445582559188865,3.3918473430775493,1.2,0.9793999948361558
12.364,3.166374683380127,3.36645770072937,1.0437206029891968,4.137420177459717,3.1810495853424072,0.8628405332565308,3.150797440779908,3.3783660182937667,1.2,0.9885876394248616
12.464,3.166517734527588,3.360332727432251,1.0486801862716675,4.15251350402832,3.163058280944824,0.8879228234291077,3.1551648311916587,3.3685980716807853,1.2,1.0055371026025157
12.566,3.184514045715332,3.3589541912078857,1.0451050996780396,4.163125514984131,3.135248899459839,0.901285707950592,3.1719472305921705,3.3592464136122753,1.2,1.0038548029174916
12.663,3.1840615272521973,3.3704841136932373,1.080896258354187,4.160531520843506,3.127619743347168,0.9274988174438477,3.188271914219686,3.35809516278188,1.2,1.0062190371722266
12.763,3.1927809715270996,3.3771378993988037,1.0889467000961304,4.191539764404297,3.0937387943267822,0.9558806419372559,3.1900966974918443,3.368983066216302,1.2,1.0381879305333592
12.862,3.2092761993408203,3.368358612060547,1.1266059875488281,4.183775901794434,3.065256118774414,0.9664411544799805,3.229518570068032,3.3667135580831165,1.2,1.0205492597216712
12.966,3.2795324325561523,3.3711049556732178,1.1962970495224,4.172022819519043,3.0417559146881104,0.9869480133056641,3.228898228648717,3.3622554947465217,1.2,0.9513200731714748
13.062,3.321786403656006,3.3557913303375244,1.2334632873535156,4.171846866607666,3.012544870376587,1.00901198387146,3.2338628751088088,3.387958050302821,1.2,0.9167447425261332
13.185,3.3499836921691895,3.321565866470337,1.2842727899551392,4.182731628417969,2.958976984024048,1.0340532064437866,3.244587157858992,3.386963663349542,1.2,0.908261979277042
13.271,3.3580498695373535,3.3030521869659424,1.304328441619873,4.214327812194824,2.8826255798339844,1.0608329772949219,3.265872885842804,3.3581887651171005,1.2,0.9539237113449903
13.38,3.3569114208221436,3.2908599376678467,1.3204752206802368,4.248487949371338,2.806223154067993,1.0554624795913696,3.632178299032043,3.5943486066878045,1.2,1.0147815125818185
13.464,3.3369345664978027,3.2978851795196533,1.3048936128616333,4.276645660400391,2.74246883392334,1.043613076210022,3.656313429922136,3.5561115860074715,1.2,1.0915787909991481
13.562,3.3169753551483154,3.2997148036956787,1.2881931066513062,4.330687046051025,2.671005964279175,1.0271787643432617,3.415772307371565,3.2512881240892177,1.2,1.1928479354189614
13.663,3.2991654872894287,3.322033643722534,1.2442001104354858,4.42003870010376,2.6020028591156006,1.0247963666915894,3.6868917050041534,3.451905125691965,1.2,1.3322166077580617
13.763,3.2918457984924316,3.3611669540405273,1.182736873626709,4.518099784851074,2.5625264644622803,1.0257279872894287,3.628576498592607,3.2132209736861026,1.2,1.4633951860841432
13.862,3.301699638366699,3.403562307357788,1.1291999816894531,4.613587379455566,2.520207166671753,1.0207139253616333,3.521728719624333,3.0338233385966578,1.2,1.581570659122031
13.964,3.3309285640716553,3.4136483669281006,1.0952980518341064,4.692579746246338,2.443528890609741,0.9938708543777466,3.5574596471381557,3.096012607450237,1.2,1.6718928614746575
14.067,3.382115125656128,3.4050047397613525,1.0491939783096313,4.777096748352051,2.400214672088623,0.9607831239700317,3.6990911163205102,3.257263153043893,1.2,1.7191791086891204
