time,cf231_x,cf231_y,cf231_z,cf231_ex,cf231_ey,cf231_ez,cf2_x,cf2_y,cf2_z,cf2_ex,cf2_ey,cf2_ez,separation_xy,separation_3d
13.648,1.4919657707214355,3.4124040603637695,0.9119834899902344,1.2727723652145255,3.473841671931223,0.7,2.3950772285461426,3.2200191020965576,0.963324785232544,1.9922144246386602,3.816778943370382,1.0,0.9233754801930494,0.9248017117300888
13.68,1.4919657707214355,3.4124040603637695,0.9119834899902344,1.2727723652145255,3.473841671931223,0.7,2.326542854309082,3.266906499862671,0.9461244940757751,1.9922144246386602,3.816778943370382,1.0,0.847164947670424,0.8478526149758584
13.77,1.458242416381836,3.384824514389038,0.9480771422386169,1.234030093618813,3.463981332236046,0.7,2.326542854309082,3.266906499862671,0.9461244940757751,2.017777209386223,3.701406363069589,1.0,0.8762706822977064,0.8762728578983465
13.8,1.458242416381836,3.384824514389038,0.9480771422386169,1.234030093618813,3.463981332236046,0.7,2.262131929397583,3.319650411605835,0.9171125888824463,2.017777209386223,3.701406363069589,1.0,0.8065271308581569,0.8071213145338423
13.851,1.431240200996399,3.3795723915100098,0.9531022906303406,1.195690907999543,3.4525733444338327,0.7,2.262131929397583,3.319650411605835,0.9171125888824463,1.9226997373096895,3.7646657931312526,1.0,0.8330496431792906,0.8338267005997384
13.878,1.431240200996399,3.3795723915100098,0.9531022906303406,1.195690907999543,3.4525733444338327,0.7,2.2065048217773438,3.369445323944092,0.9030777215957642,1.9226997373096895,3.7646657931312526,1.0,0.7753307615025389,0.776942885442168
13.957,1.3952819108963013,3.3855087757110596,0.9362109899520874,1.1578202574575092,3.4396345160718367,0.7,2.2065048217773438,3.369445323944092,0.9030777215957642,2.020202518681143,3.494129749839426,1.0,0.8113819357250822,0.8120581623830608
13.979,1.3952819108963013,3.3855087757110596,0.9362109899520874,1.1578202574575092,3.4396345160718367,0.7,2.1670031547546387,3.4225361347198486,0.9053230285644531,2.020202518681143,3.494129749839426,1.0,0.772609023722494,0.7732262086195146
14.049,1.3573219776153564,3.4135990142822266,0.9078454375267029,1.1205385823184146,3.425207561842791,0.7,2.1670031547546387,3.4225361347198486,0.9053230285644531,1.987268845521814,3.2877771573233083,1.0,0.8097304988299319,0.8097344276257142
14.084,1.3573219776153564,3.4135990142822266,0.9078454375267029,1.1205385823184146,3.425207561842791,0.7,2.133064031600952,3.4749114513397217,0.945894181728363,1.987268845521814,3.2877771573233083,1.0,0.7781612617316029,0.7790909165142689
14.142,1.3058315515518188,3.443208932876587,0.8834326267242432,1.083865910945699,3.4093032607040112,0.7,2.133064031600952,3.4749114513397217,0.945894181728363,1.8396277979182614,3.056694131012269,1.0,0.8278397343237066,0.8301927918132498
14.183,1.3058315515518188,3.443208932876587,0.8834326267242432,1.083865910945699,3.4093032607040112,0.7,2.0998570919036865,3.532466173171997,0.9888882637023926,1.8396277979182614,3.056694131012269,1.0,0.7990265412839727,0.805955522995342
14.242,1.2548681497573853,3.479358196258545,0.8498752117156982,1.047795887054712,3.3919144803373054,0.7,2.0998570919036865,3.532466173171997,0.9888882637023926,1.8259625709477572,3.144104063872182,1.0,0.8466562286792468,0.8579926562529661
14.279,1.2548681497573853,3.479358196258545,0.8498752117156982,1.047795887054712,3.3919144803373054,0.7,2.0635874271392822,3.5840888023376465,1.0306638479232788,1.8259625709477572,3.144104063872182,1.0,0.8154724823430853,0.8352723510571809
14.342,1.1979997158050537,3.526327133178711,0.8153740167617798,1.0125450267618654,3.3731481255007134,0.7,2.0635874271392822,3.5840888023376465,1.0306638479232788,1.7442554169831848,3.132226949210308,1.0,0.8675128220590483,0.8938278401562578
14.377,1.1979997158050537,3.526327133178711,0.8153740167617798,1.0125450267618654,3.3731481255007134,0.7,2.0224897861480713,3.6171467304229736,1.0742990970611572,1.7442554169831848,3.132226949210308,1.0,0.8294769890345628,0.8689500978456031
14.445,1.1425325870513916,3.5663058757781982,0.7643256783485413,0.9780308048328634,3.352964336474024,0.7,2.0224897861480713,3.6171467304229736,1.0742990970611572,1.6606140496717203,3.144243401385403,1.0,0.8814246789959337,0.9343409361959217
14.479,1.1425325870513916,3.5663058757781982,0.7643256783485413,0.9780308048328634,3.352964336474024,0.7,1.997081995010376,3.628492832183838,1.0883058309555054,1.6606140496717203,3.144243401385403,1.0,0.8568091433861147,0.9160158554704604
14.556,1.1032510995864868,3.5990054607391357,0.7114996314048767,0.9443369773879978,3.331407604789428,0.7,1.997081995010376,3.628492832183838,1.0883058309555054,1.6292766571392074,3.2154779831665254,1.0,0.8943171555376701,0.9704566382424191
14.583,1.1032510995864868,3.5990054607391357,0.7114996314048767,0.9443369773879978,3.331407604789428,0.7,1.9671310186386108,3.610246419906616,1.0869991779327393,1.6292766571392074,3.2154779831665254,1.0,0.8639530506367283,0.942026954575685
14.641,1.0773416757583618,3.611626386642456,0.6626659631729126,0.9115308043527011,3.3085196384592157,0.7,1.9671310186386108,3.610246419906616,1.0869991779327393,1.5643858027412876,3.2151372730153627,1.0,0.8897904129689516,0.985791892926629
14.687,1.0773416757583618,3.611626386642456,0.6626659631729126,0.9115308043527011,3.3085196384592157,0.7,1.9457917213439941,3.5674030780792236,1.0981364250183105,1.5643858027412876,3.2151372730153627,1.0,0.8695752886886596,0.972520285566224
14.743,1.0770105123519897,3.5982260704040527,0.6379141211509705,0.8796797821725786,3.2843486644054036,0.7,1.9457917213439941,3.5674030780792236,1.0981364250183105,1.6167488256797058,3.3488718878917543,1.0,0.86932781271133,0.9836337809014225
14.792,1.0770105123519897,3.5982260704040527,0.6379141211509705,0.8796797821725786,3.2843486644054036,0.7,1.9236564636230469,3.5075652599334717,1.1036536693572998,1.6167488256797058,3.3488718878917543,1.0,0.8514862003337786,0.9705370039943307
14.841,1.078231692314148,3.566025972366333,0.6374685764312744,0.8487701078804716,3.258880509441366,0.7,1.9236564636230469,3.5075652599334717,1.1036536693572998,1.091833848749041,4.198042933036357,1.0,0.8474436257597681,0.9672069270364583
14.889,1.078231692314148,3.566025972366333,0.6374685764312744,0.8487701078804716,3.258880509441366,0.7,1.8902668952941895,3.4261224269866943,1.1160211563110352,1.091833848749041,4.198042933036357,1.0,0.8239988913151703,0.9528833845745263
14.947,1.075684666633606,3.5233333110809326,0.6374715566635132,0.8189189248596085,3.2322080094383074,0.7,1.8902668952941895,3.4261224269866943,1.1160211563110352,1.0554932018068286,4.16559495175857,1.0,0.8203622146564447,0.9497388496628061
14.978,1.075684666633606,3.5233333110809326,0.6374715566635132,0.8189189248596085,3.2322080094383074,0.7,1.860013723373413,3.340207099914551,1.1288294792175293,1.0554932018068286,4.16559495175857,1.0,0.8054236639573671,0.9434722499994943
15.055,1.065873384475708,3.4632680416107178,0.6394321918487549,0.7902278391292985,3.204431316490781,0.7,1.860013723373413,3.340207099914551,1.1288294792175293,1.11141687305833,4.12226837385821,1.0,0.8036186118027067,0.9409105048407229
15.098,1.065873384475708,3.4632680416107178,0.6394321918487549,0.7902278391292985,3.204431316490781,0.7,1.81265389919281,3.2830843925476074,1.1442878246307373,1.11141687305833,4.12226837385821,1.0,0.7682104428806198,0.9192532265390935
15.142,1.0365492105484009,3.394827365875244,0.6555189490318298,0.7626368833799586,3.1754965834468587,0.7,1.81265389919281,3.2830843925476074,1.1442878246307373,1.1625977278875286,4.055420388048315,1.0,0.7841077603390597,0.9239696929976419
15.18,1.0365492105484009,3.394827365875244,0.6555189490318298,0.7626368833799586,3.1754965834468587,0.7,1.7534619569778442,3.2509119510650635,1.1472392082214355,1.1625977278875286,4.055420388048315,1.0,0.731215106937072,0.8811721431766252
15.241,0.9998771548271179,3.33608341217041,0.6550949811935425,0.7361971949335998,3.1454496688144618,0.7,1.7534619569778442,3.2509119510650635,1.1472392082214355,1.2728494290028212,3.9463363927808723,1.0,0.7583826420873363,0.9040742071402387
15.278,0.9998771548271179,3.33608341217041,0.6550949811935425,0.7361971949335998,3.1454496688144618,0.7,1.6884621381759644,3.26271653175354,1.1258379220962524,1.2728494290028212,3.9463363927808723,1.0,0.6924824751830435,0.8373355927257402
15.362,0.9478117823600769,3.2789855003356934,0.6379848718643188,0.710977272702645,3.114364009206467,0.7,1.6884621381759644,3.26271653175354,1.1258379220962524,1.317609095369864,3.845049436536419,1.0,0.7408290146241087,0.8870333858032229
15.402,0.9478117823600769,3.2789855003356934,0.6379848718643188,0.6870493068584326,3.0823325257279084,0.7,1.6113358736038208,3.32246732711792,1.102160930633545,1.3520874659056592,3.7223376985864207,1.0,0.6649472828135744,0.8109342158619821
15.457,0.8971273303031921,3.2359533309936523,0.6353781223297119,0.6870493068584326,3.0823325257279084,0.7,1.6113358736038208,3.32246732711792,1.102160930633545,1.3520874659056592,3.7223376985864207,1.0,0.7194292980196149,0.8575923885955429
15.476,0.8971273303031921,3.2359533309936523,0.6353781223297119,0.6870493068584326,3.0823325257279084,0.7,1.5218889713287354,3.4289422035217285,1.0917792320251465,1.3520874659056592,3.7223376985864207,1.0,0.6538897560113538,0.7974169461127671
15.543,0.8464885354042053,3.2001495361328125,0.6280199885368347,0.6644147121005407,3.0493607436338874,0.7,1.5218889713287354,3.4289422035217285,1.0917792320251465,1.3545117891844929,3.624282388332734,1.0,0.7131001567087055,0.8506376839870378
15.597,0.8464885354042053,3.2001495361328125,0.6280199885368347,0.6644147121005407,3.0493607436338874,0.7,1.458508014678955,3.5510482788085938,1.0618000030517578,1.3545117891844929,3.624282388332734,1.0,0.7054769809307601,0.828168383612745
15.643,0.7995982766151428,3.1668708324432373,0.6422027349472046,0.6431220624688555,3.0155193499495168,0.7,1.458508014678955,3.5510482788085938,1.0618000030517578,1.3364012619408134,3.5465387974811784,1.0,0.7627282302439893,0.870526404316338
15.676,0.7995982766151428,3.1668708324432373,0.6422027349472046,0.6431220624688555,3.0155193499495168,0.7,1.3827719688415527,3.6804044246673584,1.0540978908538818,1.3364012619408134,3.5465387974811784,1.0,0.7770510315594423,0.8794691154935341
15.741,0.76108717918396,3.125048875808716,0.6436552405357361,0.6231875847278161,2.9808325991699807,0.7,1.3827719688415527,3.6804044246673584,1.0540978908538818,1.2888939650666251,3.514131151602784,1.0,0.8336136775147643,0.9291797094964317
15.799,0.76108717918396,3.125048875808716,0.6436552405357361,0.6231875847278161,2.9808325991699807,0.7,1.3299777507781982,3.795413017272949,1.0352132320404053,1.2888939650666251,3.514131151602784,1.0,0.8792181553004339,0.9624667398518603
15.843,0.7315394282341003,3.085493803024292,0.6544891595840454,0.6046743751170176,2.9454121972150036,0.7,1.3299777507781982,3.795413017272949,1.0352132320404053,1.1675205226566514,3.566423928698669,1.0,0.9285007897944,1.0035260514787747
15.883,0.7315394282341003,3.085493803024292,0.6544891595840454,0.6046743751170176,2.9454121972150036,0.7,1.2916409969329834,3.883924722671509,1.0295000076293945,1.1675205226566514,3.566423928698669,1.0,0.9752977497706278,1.044910922930439
15.942,0.6983963251113892,3.067438840866089,0.671835720539093,0.5875778818249393,2.909250385784712,0.7,1.2916409969329834,3.883924722671509,1.0295000076293945,1.0906167057774891,3.5661844610904003,1.0,1.009251423497775,1.0707530892283705
15.978,0.6983963251113892,3.067438840866089,0.671835720539093,0.5875778818249393,2.909250385784712,0.7,1.2663170099258423,3.9435691833496094,1.0335429906845093,1.0906167057774891,3.5661844610904003,1.0,1.0440968735037992,1.104975307659161
16.043,0.6816507577896118,3.0499520301818848,0.6825084090232849,0.5719214867948446,2.8723845771872245,0.7,1.2663170099258423,3.9435691833496094,1.0335429906845093,1.2252879310003872,3.354467124565993,1.0,1.0678886846589464,1.1241047639542703
16.08,0.6816507577896118,3.0499520301818848,0.6825084090232849,0.5719214867948446,2.8723845771872245,0.7,1.2799867391586304,3.976294994354248,1.022760033607483,1.2252879310003872,3.354467124565993,1.0,1.102777055379947,1.1540746951149448
16.14,0.6500663161277771,3.0346992015838623,0.705106258392334,0.557787179905776,2.8350149275033716,0.7,1.2799867391586304,3.976294994354248,1.022760033607483,1.096630843286075,3.4833012296057997,1.0,1.1328735041099074,1.176565466611483
16.175,0.6500663161277771,3.0346992015838623,0.705106258392334,0.557787179905776,2.8350149275033716,0.7,1.3082269430160522,3.9736077785491943,1.0021919012069702,1.096630843286075,3.4833012296057997,1.0,1.1466144629669697,1.1844765113127478
16.248,0.6357913613319397,3.027127981185913,0.7198725342750549,0.5451432421613401,2.7970666120752092,0.7,1.3082269430160522,3.9736077785491943,1.0021919012069702,1.1903626870241406,3.2956203229907333,1.0,1.1610312736234494,1.1948631065007096
16.306,0.6357913613319397,3.027127981185913,0.7198725342750549,0.5340232477583498,2.7586289120123144,0.7,1.3297803401947021,3.929232120513916,0.994839072227478,1.1658506609208308,3.3082634270466835,1.0,1.1381619309112814,1.1709052813824175
